,plsaContext
0,LeftTroll|Before June 9|positive
1,LeftTroll|Before June 9|negative
2,LeftTroll|Before June 9|negative
3,LeftTroll|Before June 9|positive
4,LeftTroll|Before June 9|positive
5,LeftTroll|Before June 9|neutral
6,LeftTroll|Before June 9|neutral
7,LeftTroll|Before June 9|negative
8,LeftTroll|Before June 9|neutral
9,LeftTroll|Before June 9|positive
10,LeftTroll|Before June 9|positive
11,LeftTroll|Before June 9|positive
12,LeftTroll|Before June 9|neutral
13,LeftTroll|Before June 9|negative
14,LeftTroll|Before June 9|positive
15,LeftTroll|Before June 9|positive
16,LeftTroll|Before June 9|negative
17,LeftTroll|Before June 9|negative
18,LeftTroll|Before June 9|positive
19,LeftTroll|Before June 9|negative
20,LeftTroll|Before June 9|positive
21,LeftTroll|Before June 9|neutral
22,LeftTroll|Before June 9|negative
23,LeftTroll|Before June 9|neutral
24,LeftTroll|Before June 9|positive
25,LeftTroll|Before June 9|positive
26,LeftTroll|Before June 9|positive
27,LeftTroll|Before June 9|positive
28,LeftTroll|Before June 9|positive
29,LeftTroll|Before June 9|neutral
30,LeftTroll|Before June 9|negative
31,LeftTroll|Before June 9|positive
32,LeftTroll|Before June 9|neutral
33,LeftTroll|Before June 9|positive
34,LeftTroll|Before June 9|neutral
35,LeftTroll|Before June 9|positive
36,LeftTroll|Before June 9|positive
37,LeftTroll|Before June 9|neutral
38,LeftTroll|Before June 9|positive
39,LeftTroll|Before June 9|neutral
40,LeftTroll|Before June 9|positive
41,LeftTroll|Before June 9|neutral
42,LeftTroll|Before June 9|neutral
43,LeftTroll|Before June 9|neutral
44,LeftTroll|Before June 9|positive
45,LeftTroll|Before June 9|neutral
46,LeftTroll|Before June 9|positive
47,LeftTroll|Before June 9|positive
48,LeftTroll|Before June 9|positive
49,LeftTroll|Before June 9|positive
50,LeftTroll|Before June 9|positive
51,LeftTroll|Before June 9|negative
52,LeftTroll|Before June 9|neutral
53,LeftTroll|Before June 9|neutral
54,LeftTroll|Before June 9|neutral
55,LeftTroll|Before June 9|neutral
56,LeftTroll|Before June 9|positive
57,LeftTroll|Before June 9|negative
58,LeftTroll|Before June 9|neutral
59,LeftTroll|Before June 9|neutral
60,LeftTroll|Before June 9|neutral
61,LeftTroll|Before June 9|neutral
62,LeftTroll|Before June 9|neutral
63,LeftTroll|Before June 9|positive
64,LeftTroll|Before June 9|positive
65,LeftTroll|Before June 9|negative
66,LeftTroll|Before June 9|positive
67,LeftTroll|Before June 9|positive
68,LeftTroll|Before June 9|negative
69,LeftTroll|Before June 9|neutral
70,LeftTroll|Before June 9|positive
71,LeftTroll|Before June 9|negative
72,LeftTroll|Before June 9|positive
73,LeftTroll|Before June 9|negative
74,LeftTroll|Before June 9|positive
75,LeftTroll|Before June 9|neutral
76,LeftTroll|Before June 9|neutral
77,LeftTroll|Before June 9|positive
78,LeftTroll|Before June 9|positive
79,LeftTroll|Before June 9|negative
80,LeftTroll|Before June 9|positive
81,LeftTroll|Before June 9|neutral
82,LeftTroll|Before June 9|neutral
83,LeftTroll|Before June 9|positive
84,LeftTroll|Before June 9|positive
85,LeftTroll|Before June 9|negative
86,LeftTroll|Before June 9|negative
87,LeftTroll|Before June 9|negative
88,LeftTroll|Before June 9|positive
89,LeftTroll|Before June 9|neutral
90,LeftTroll|Before June 9|neutral
91,LeftTroll|Before June 9|positive
92,LeftTroll|Before June 9|negative
93,LeftTroll|Before June 9|negative
94,LeftTroll|Before June 9|positive
95,LeftTroll|Before June 9|positive
96,LeftTroll|Before June 9|neutral
97,LeftTroll|Before June 9|neutral
98,LeftTroll|Before June 9|neutral
99,LeftTroll|Before June 9|positive
100,LeftTroll|Before June 9|positive
101,LeftTroll|Before June 9|neutral
102,LeftTroll|Before June 9|positive
103,LeftTroll|Before June 9|neutral
104,LeftTroll|Before June 9|positive
105,LeftTroll|Before June 9|positive
106,LeftTroll|Before June 9|neutral
107,LeftTroll|Before June 9|neutral
108,LeftTroll|Before June 9|neutral
109,LeftTroll|Before June 9|neutral
110,LeftTroll|Before June 9|neutral
111,LeftTroll|Before June 9|positive
112,LeftTroll|Before June 9|neutral
113,LeftTroll|Before June 9|neutral
114,LeftTroll|Before June 9|positive
115,LeftTroll|Before June 9|positive
116,LeftTroll|Before June 9|neutral
117,LeftTroll|Before June 9|positive
118,LeftTroll|Before June 9|neutral
119,LeftTroll|Before June 9|positive
120,LeftTroll|Before June 9|neutral
121,LeftTroll|Before June 9|positive
122,LeftTroll|Before June 9|positive
123,LeftTroll|Before June 9|positive
124,LeftTroll|Before June 9|positive
125,LeftTroll|Before June 9|positive
126,LeftTroll|Before June 9|neutral
127,LeftTroll|Before June 9|positive
128,LeftTroll|Before June 9|neutral
129,LeftTroll|Before June 9|neutral
130,LeftTroll|Before June 9|neutral
131,LeftTroll|Before June 9|positive
132,LeftTroll|Before June 9|neutral
133,LeftTroll|Before June 9|positive
134,LeftTroll|Before June 9|neutral
135,LeftTroll|Before June 9|positive
136,LeftTroll|Before June 9|negative
137,LeftTroll|Before June 9|negative
138,LeftTroll|Before June 9|positive
139,LeftTroll|Before June 9|negative
140,LeftTroll|Before June 9|negative
141,LeftTroll|Before June 9|neutral
142,LeftTroll|Before June 9|neutral
143,LeftTroll|Before June 9|neutral
144,LeftTroll|Before June 9|positive
145,LeftTroll|Before June 9|positive
146,LeftTroll|Before June 9|negative
147,LeftTroll|Before June 9|neutral
148,LeftTroll|Before June 9|positive
149,LeftTroll|Before June 9|neutral
150,LeftTroll|Before June 9|neutral
151,LeftTroll|Before June 9|neutral
152,LeftTroll|Before June 9|negative
153,LeftTroll|Before June 9|neutral
154,LeftTroll|Before June 9|positive
155,LeftTroll|Before June 9|neutral
156,LeftTroll|Before June 9|positive
157,LeftTroll|Before June 9|neutral
158,LeftTroll|Before June 9|negative
159,LeftTroll|Before June 9|neutral
160,LeftTroll|Before June 9|neutral
161,LeftTroll|Before June 9|neutral
162,LeftTroll|Before June 9|neutral
163,LeftTroll|Before June 9|neutral
164,LeftTroll|Before June 9|neutral
165,LeftTroll|Before June 9|positive
166,LeftTroll|Before June 9|neutral
167,LeftTroll|Before June 9|neutral
168,LeftTroll|Before June 9|positive
169,LeftTroll|Before June 9|neutral
170,LeftTroll|Before June 9|negative
171,LeftTroll|Before June 9|positive
172,LeftTroll|Before June 9|neutral
173,LeftTroll|Before June 9|neutral
174,LeftTroll|Before June 9|neutral
175,LeftTroll|Before June 9|neutral
176,LeftTroll|Before June 9|neutral
177,LeftTroll|Before June 9|positive
178,LeftTroll|Before June 9|neutral
179,LeftTroll|Before June 9|neutral
180,LeftTroll|Before June 9|neutral
181,LeftTroll|Before June 9|positive
182,LeftTroll|Before June 9|neutral
183,LeftTroll|Before June 9|positive
184,LeftTroll|Before June 9|neutral
185,LeftTroll|Before June 9|positive
186,LeftTroll|Before June 9|negative
187,LeftTroll|Before June 9|negative
188,LeftTroll|Before June 9|neutral
189,LeftTroll|Before June 9|negative
190,LeftTroll|Before June 9|positive
191,LeftTroll|Before June 9|positive
192,LeftTroll|Before June 9|neutral
193,LeftTroll|Before June 9|positive
194,LeftTroll|Before June 9|negative
195,LeftTroll|Before June 9|negative
196,LeftTroll|Before June 9|positive
197,LeftTroll|Before June 9|negative
198,LeftTroll|Before June 9|positive
199,LeftTroll|Before June 9|neutral
200,LeftTroll|Before June 9|neutral
201,LeftTroll|Before June 9|positive
202,LeftTroll|Before June 9|neutral
203,LeftTroll|Before June 9|neutral
204,LeftTroll|Before June 9|neutral
205,LeftTroll|Before June 9|neutral
206,LeftTroll|Before June 9|neutral
207,LeftTroll|Before June 9|positive
208,LeftTroll|Before June 9|neutral
209,LeftTroll|Before June 9|neutral
210,LeftTroll|Before June 9|positive
