,Unnamed: 0,content,publish_date,retweet,account_category,new_june_2018,dateSent
0,7596,"Wise words. We change our future today, not tomorrow. https://t.co/IJJSF8wPww",2016-04-25 20:01:00,0,LeftTroll,0,Before June 9
1,7597,Police torment PARALYZED Black Veteran by putting water out of reach as he lay dying. The media keep silent! https://t.co/fBPaJQppey,2016-04-25 22:30:00,0,LeftTroll,0,Before June 9
2,7598,So he associates Black hairstyles with “being weird”?  Damn freak. https://t.co/TcluEOcpvs,2016-04-25 22:49:00,0,LeftTroll,0,Before June 9
3,7599,NFL players flew to Haiti where they helped rebuild an elementary school and host a mobile medical clinic. https://t.co/xjlTHgQGoa,2016-04-25 22:54:00,0,LeftTroll,0,Before June 9
4,7600,"A lot of people are mad, but who cares? It's the best thing ever happened to America #BlackLivesMatter https://t.co/pb1Zrv7Z3e",2016-04-25 22:58:00,0,LeftTroll,0,Before June 9
5,7601,Just look at that lying bitch Hillary https://t.co/mCqLzKcLTE,2016-04-26 02:04:00,0,LeftTroll,0,Before June 9
6,7602,Bernie Sanders destroys Hillary Clinton in debate on Vermont gun laws https://t.co/8rcnXYSvJv,2016-04-26 02:14:00,0,LeftTroll,0,Before June 9
7,7603,"Heartbreaking. Eddie Bolden who was wrongly sentenced to 22 years, visits his son’s graduation ceremony https://t.co/7AlCxoP7As",2016-04-27 02:58:00,0,LeftTroll,0,Before June 9
8,7612,"""With the blood running down his jaws like a bloody-jawed wolf"" - Malcolm X https://t.co/ADPGd6PrVg",2016-05-10 23:11:00,0,LeftTroll,0,Before June 9
9,7613,W. Kamau Bell tells Stephen Colbert why Black people can’t really be racist  https://t.co/eKWggJLxAe https://t.co/eBekNoAOWk,2016-05-10 23:38:00,0,LeftTroll,0,Before June 9
10,7614,Natural hair is beautiful https://t.co/hKqXtIAts9,2016-05-11 00:06:00,0,LeftTroll,0,Before June 9
11,7615,So proud of them! https://t.co/kx7LPCAQl6,2016-05-11 01:19:00,0,LeftTroll,0,Before June 9
12,7616,Malcolm X on African history https://t.co/jGffCRi6AW,2016-05-11 01:48:00,0,LeftTroll,0,Before June 9
13,7617,"Honour belongs to those who never forsake the truth even when things seem dark & grim, who try over & over again https://t.co/F8VK01BcWs",2016-05-11 02:01:00,0,LeftTroll,0,Before June 9
14,7618,Black is beautiful https://t.co/AUpTI3kPGx,2016-05-11 02:14:00,0,LeftTroll,0,Before June 9
15,7619,Proud of this brave woman! https://t.co/INMJu7gAFb,2016-05-14 19:39:00,0,LeftTroll,0,Before June 9
16,7620,Why are there no Black people on #Eurovision ? Sweden has always been a racist shithole. https://t.co/dD7maRTBmm,2016-05-14 20:44:00,0,LeftTroll,0,Before June 9
17,7621,Black Is Viral: What You Missed At Afrofuturism 2016  https://t.co/pKLxJlD2YI https://t.co/yQGXylbb6G,2016-05-14 21:38:00,0,LeftTroll,0,Before June 9
18,7622,Obama to Howard grads: ‘Be confident in your blackness’ https://t.co/b8MlYk4VSx,2016-05-14 22:50:00,0,LeftTroll,0,Before June 9
19,7623,"Black Panther Taps Michael B. Jordan to Join the Cast, Possibly As the Villain  https://t.co/fKONTshazZ https://t.co/cHaNo5Urt9",2016-05-15 00:20:00,0,LeftTroll,0,Before June 9
20,7624,"Galvanizing event delivers potent messages on stage in ""The Ballad of Trayvon Martin""  https://t.co/IrkOoPLSv6 https://t.co/TUTjgOOjHq",2016-05-15 00:40:00,0,LeftTroll,0,Before June 9
21,7625,When will America stop the genocide of its own people? https://t.co/6E0WZJLH4R,2016-05-15 19:51:00,0,LeftTroll,0,Before June 9
22,7626,WTF??? AL sorority makes T-shirt featuring Black men eating watermelon and picking cotton  https://t.co/lIAgQcsn1M https://t.co/buPoI9xlLr,2016-05-15 01:20:00,0,LeftTroll,0,Before June 9
23,7627,#BlackTwitter https://t.co/W9PEqFaG4F,2016-05-15 01:29:00,0,LeftTroll,0,Before June 9
24,7628,Ser Negro Es Hermoso Campaign Seeks to Teach Afro-Colombians That Black Is Beautiful  https://t.co/2XDRIA8t1M https://t.co/pByP5BWArc,2016-05-15 01:50:00,0,LeftTroll,0,Before June 9
25,7629,"Portrait of a young Moorish man with a bow by Hyacinthe Rigaud, c.1700 CE #Moors #AfricanPresence https://t.co/XXSmO1xwU4",2016-05-15 01:50:00,0,LeftTroll,0,Before June 9
26,7630,My skin color gives no one the right to give me a different education  https://t.co/gFZJ9vIjzI https://t.co/OvZvuKGOeA,2016-05-15 20:25:00,0,LeftTroll,0,Before June 9
27,7631,Artist's dazzling self-portraits explore the cosmic power of gold  https://t.co/ev2x8TrGsA https://t.co/JYkWUK8yaI,2016-05-15 20:45:00,0,LeftTroll,0,Before June 9
28,7632,Rich white men need to stop questioning equal pay in tennis. It's not always about you.  https://t.co/j7eGPiTqNT https://t.co/Ziou1SKr0o,2016-05-15 20:59:00,0,LeftTroll,0,Before June 9
29,7633,We are one.. https://t.co/MargkPGN73,2016-05-15 23:03:00,0,LeftTroll,0,Before June 9
30,7634,Black women give us power https://t.co/XRK2wJ1Pds,2016-05-15 02:20:00,0,LeftTroll,0,Before June 9
31,7635,This image gives me life.. the joy and beauty in the simplicity of being. https://t.co/vZWHTCPNW6,2016-05-15 02:50:00,0,LeftTroll,0,Before June 9
32,7636,We should never forget the atrocities of #slavery https://t.co/PZq0ZN6AIc,2016-05-15 03:20:00,0,LeftTroll,0,Before June 9
33,7637,Damn... Rihanna is so hot  https://t.co/SSJCWbGmHL,2016-05-15 03:50:00,0,LeftTroll,0,Before June 9
34,7638,And they say that European civilization is refined... https://t.co/lNemoYneUj,2016-05-15 04:20:00,0,LeftTroll,0,Before June 9
35,7639,Fight the prejudices. Get ready for the revolution. #BlackLivesMatter https://t.co/m9IQnnY4l2,2016-05-15 04:50:00,0,LeftTroll,0,Before June 9
36,7640,I stand for Bernie Sanders. He's a really good man. https://t.co/HitJdPzKH7,2016-05-15 05:20:00,0,LeftTroll,0,Before June 9
37,7641,This lemon is on steroids. Someone call Beyonce #lemonade https://t.co/IFEb7MdQ8N,2016-05-15 05:50:00,0,LeftTroll,0,Before June 9
38,7642,Simply perfect #blacktwitter https://t.co/2MjWsQn9ur,2016-05-15 06:20:00,0,LeftTroll,0,Before June 9
39,7643,Mother and daughter fitness team #blacktwitter https://t.co/Zmcloujzjt,2016-05-17 22:03:00,0,LeftTroll,0,Before June 9
40,7644,Malcolm X The greatest hero. #BlackLivesMatter https://t.co/T8kbKICoBZ,2016-05-17 22:40:00,0,LeftTroll,0,Before June 9
41,7645,"""The family is an army"" - African proverb We should never forget our culture. https://t.co/04zrDIigD4",2016-05-17 23:10:00,0,LeftTroll,0,Before June 9
42,7646,"Together we stand, divided we fall #BlackLivesMatter https://t.co/XdoDTxlP6H",2016-05-17 23:40:00,0,LeftTroll,0,Before June 9
43,7647,"7-year-old, Aiyana Stanley-Jones was murdered in her sleep 6 years ago TODAY by a police officer. #AiyanasDreams https://t.co/iUdFnOvXRk",2016-05-18 00:20:00,0,LeftTroll,0,Before June 9
44,7648,$35K Reward in Shooting of 9-Year-Old Milwaukee Girl Who Asked Police to 'Keep Her Safe'  https://t.co/AGlgqrE7pp https://t.co/5S25dhyQox,2016-05-18 00:30:00,0,LeftTroll,0,Before June 9
45,7649,"'When there is no enemy within, the enemies outside cannot hurt you' - African proverb https://t.co/SHxUNqL5Kx",2016-05-18 21:31:00,0,LeftTroll,0,Before June 9
46,7650,"Whites are 30 times as likely to use cocaine as Blacks, and 50 times more likely to abuse opiates. So why are the prisons full of Blacks?",2016-05-18 22:20:00,0,LeftTroll,0,Before June 9
47,7651,That's how this guy got divorced. LMAO his friends are really fun people https://t.co/Gtdi2v99iu,2016-05-18 22:39:00,0,LeftTroll,0,Before June 9
48,7652,Angela Davis a prominent counterculture activist who had close relations with the Black Panther Party https://t.co/0ZIq60HDk0,2016-05-18 22:50:00,0,LeftTroll,0,Before June 9
49,7653,"This is #NationalPoliceWeek. Dear cops, stop killing innocent people. Just fuck off. Thank you for the attention https://t.co/qiKUPDOMUQ",2016-05-18 23:20:00,0,LeftTroll,0,Before June 9
50,7654,"May 19, 1925 Malcolm X, the greatest of the Black Panthers, was born. His ideas lit the fire. We'll never forget you https://t.co/K0wKua372M",2016-05-19 01:44:00,0,LeftTroll,0,Before June 9
51,7655,It's hard to believe but this picture is only 75 years old. https://t.co/M7omMYhtxH,2016-05-19 01:59:00,0,LeftTroll,0,Before June 9
